#,Title (short),Author(s),Year,Architecture,Task
1,A Comprehensive Evaluation of LLMs on Legal Judgment Prediction,Shui & Cao,2023,LLM,LJP
2,LEMUR: Corpus for Robust Fine-Tuning of Multilingual Law Embedding Models for Retrieval,Baba Ahmadi et al.,2026,LLM,Retrieval
3,NOWJ@COLIEE 2025: Multi-stage Embedding+LLM Framework for Legal Retrieval and Entailment,Nguyen et al.,2025,RAG,Retrieval
4,A Reasoning-Focused Legal Retrieval Benchmark,"Zheng, Guha & Arifov",2025,Benchmark,Retrieval
5,AI-Assisted Sentencing Modeling Under Explainability Constraints,Sun & Shen,2026,LLM,Reasoning/Ethics
6,"AI-Powered Lawyering: AI Reasoning Models, RAG, and the Future of Legal Practice",Journal of Law & Empirical Analysis,2026,RAG,Practice/Overview
7,ALARB: An Arabic Legal Argument Reasoning Benchmark,Abu Shairah et al.,2025,Benchmark,Arabic NLP
8,ALKAFI-LLAMA3: Fine-Tuning LLMs for Precise Legal Understanding in Palestine,Al-Qaesm,2024,LLM,Arabic NLP
9,An Integrated Framework of Prompt Engineering and Multidimensional KGs for Legal Dispute Analysis,"Zhang, Zhao & Qin",2025,KG,Dispute Analysis
10,All for Law and Law for All: Adaptive RAG Pipeline for Legal Research,Keisha et al.,2025,RAG,Research
11,An Ontology-Driven Graph RAG for Legal Norms,de Martim,2025,KG,Norms/RAG
12,AppellateGen: A Benchmark for Appellate Legal Judgment Generation,"Yang, Wang et al.",2026,Benchmark,LJP/Generation
13,Applicability of LLMs for Legal Case Judgement Summarization,"Deroy, Ghosh & Ghosh",2024,LLM,Summarization
14,ArabLegalEval: A Multitask Benchmark for Arabic Legal Knowledge in LLMs,Hijazi et al.,2024,Benchmark,Arabic NLP
15,Hallucination-Free? Assessing the Reliability of Leading AI Legal Research Tools,"Magesh, Surani & Dahl",2024,LLM,Evaluation/Ethics
16,It Cannot Be Right If It Was Written by AI: Lawyers' Preferences of LLM vs Human Documents,"Harasta, Novotna & Savelka",2024,LLM,Ethics/HCI
17,Automating Construction Contract Review Using KG-Enhanced LLMs,"Zheng, Wong et al.",2025,KG,Contract Review
18,Better Call CLAUSE: A Discrepancy Benchmark for Auditing LLMs' Legal Reasoning,Roy Choudhury et al.,2026,Benchmark,Contract Review
19,Better Call GPT: Comparing LLMs Against Lawyers,"Martin, Whitehouse et al.",2024,LLM,Contract Review
20,Beyond Guilt: LJP with Trichotomous Reasoning (LJPIV),"Zhang, Yang et al.",2025,LLM,LJP
